mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	diminuendo_line	crescendo_line	decrescendo_hairpin	TextLine	TextLine_accelerando poco a poco
50	50	598/3	598/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	882															
50	50	599/3	599/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	883															
50	50	197	197	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	884															
50	50	198	198	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	885									95						
50	50	199	199	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	886															
50	50	197	197	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	887															
50	50	198	198	2.0	1/2	1/2	Chord	2/2	3	1	1/2		1/2	1	888															
50	50	196	196	3.0	0	0	Chord	2/2	4	1	3/4		1/2	3/2	889															
50	50	199	199	1.0	3/4	3/4	Chord	2/2	4	1	1/4		1/4	1	890															
51	51	200	200	0.0	0	0	Dynamic	2/2	1	1	0					f														
51	51	200	200	0.3333333333333333	0	0	Chord	2/2	1	1	1/12		1/8	2/3	891															
51	51	601/3	601/3	0.3333333333333333	1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	892															
51	51	602/3	602/3	0.3333333333333333	1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	893															
51	51	201	201	0.3333333333333333	1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	894															
51	51	604/3	604/3	0.3333333333333333	1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	895															
51	51	605/3	605/3	0.3333333333333333	5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	896															
51	51	202	202	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	897															
51	51	607/3	607/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	898															
51	51	608/3	608/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	899															
51	51	203	203	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	900															
51	51	610/3	610/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	901															
51	51	611/3	611/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	902															
51	51	201	201	0.0	1/4	1/4	Dynamic	2/2	2	1	0					f														
51	51	201	201	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	903															
51	51	202	202	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	904															
51	51	203	203	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	905															
51	51	200	200	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	906															
51	51	201	201	0.0	1/4	1/4	Dynamic	2/2	3	1	0					f														
51	51	201	201	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	907															
51	51	202	202	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	908															
51	51	203	203	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	909															
51	51	200	200	1.0	0	0	Chord	2/2	4	1	1/4		1/4	1	910															
51	51	201	201	0.0	1/4	1/4	Dynamic	2/2	4	1	0					f														
51	51	201	201	1.0	1/4	1/4	Chord	2/2	4	1	1/4		1/4	1	911															
51	51	202	202	1.0	1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	912															
51	51	203	203	1.0	3/4	3/4	Chord	2/2	4	1	1/4		1/4	1	913															
52	52	204	204	0.3333333333333333	0	0	Chord	2/2	1	1	1/12		1/8	2/3	914															
52	52	613/3	613/3	0.3333333333333333	1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	915															
52	52	614/3	614/3	0.3333333333333333	1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	916															
52	52	205	205	0.3333333333333333	1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	917															
52	52	616/3	616/3	0.3333333333333333	1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	918															
52	52	617/3	617/3	0.3333333333333333	5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	919															
52	52	206	206	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	920															
52	52	619/3	619/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	921															
52	52	620/3	620/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	922															
52	52	207	207	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	923															
52	52	622/3	622/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	924															
52	52	623/3	623/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	925															
52	52	204	204	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	926															
52	52	205	205	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	927															
52	52	206	206	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	928															
52	52	207	207	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	929															
52	52	204	204	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	930															
52	52	205	205	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	931															
52	52	206	206	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	932															
52	52	207	207	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	933															
52	52	204	204	1.0	0	0	Chord	2/2	4	1	1/4		1/4	1	934															
52	52	205	205	1.0	1/4	1/4	Chord	2/2	4	1	1/4		1/4	1	935															
52	52	206	206	1.0	1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	936															
52	52	207	207	1.0	3/4	3/4	Chord	2/2	4	1	1/4		1/4	1	937															
53	53	208	208	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	938															
53	53	209	209	0.0	1/4	1/4	Dynamic	2/2	1	1	0					p														
53	53	209	209	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	939									96						
53	53	210	210	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	940									96						
53	53	211	211	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	941									96						
53	53	208	208	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	942															
53	53	211	211	0.0	3/4	3/4	Dynamic	2/2	2	1	0					p														
53	53	211	211	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	943									97						
53	53	208	208	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	944															
53	53	208	208	0.0	0	0	Dynamic	2/2	4	1	0					fp														
53	53	208	208	0.5	0	0	Chord	2/2	4	1	1/8		1/8	1	945															
53	53	417/2	417/2	0.0	1/8	1/8	Dynamic	2/2	4	1	0					p														
53	53	417/2	417/2	1.0	1/8	1/8	Chord	2/2	4	1	1/4		1/4	1	946															
53	53	419/2	419/2	1.0	3/8	3/8	Chord	2/2	4	1	1/4		1/4	1	947															
53	53	421/2	421/2	1.0	5/8	5/8	Chord	2/2	4	1	1/4		1/4	1	948															
53	53	423/2	423/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8		1/8	1	949															
54	54	212	212	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	950															
54	54	213	213	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	951									98						
54	54	214	214	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	952									98						
54	54	215	215	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	953									98						
54	54	212	212	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	954															
54	54	215	215	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	955															
54	54	215	215	0.0	3/4	3/4	Dynamic	2/2	3	1	0					p														
54	54	215	215	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	956									99						
54	54	212	212	0.5	0	0	Chord	2/2	4	1	1/8		1/8	1	957															
54	54	425/2	425/2	1.0	1/8	1/8	Chord	2/2	4	1	1/4		1/4	1	958															
54	54	427/2	427/2	1.0	3/8	3/8	Chord	2/2	4	1	1/4		1/4	1	959															
54	54	429/2	429/2	1.0	5/8	5/8	Chord	2/2	4	1	1/4		1/4	1	960															
54	54	431/2	431/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8		1/8	1	961															
55	55	216	216	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	962															
55	55	217	217	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	963															
55	55	218	218	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	964															
55	55	219	219	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	965															
55	55	216	216	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	966															
55	55	217	217	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	967									100						
55	55	218	218	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	968									100						
55	55	219	219	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	969															
55	55	216	216	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	970															
55	55	217	217	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	971									101						
55	55	218	218	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	972									101						
55	55	219	219	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	973															
55	55	216	216	0.5	0	0	Chord	2/2	4	1	1/8		1/8	1	974															
55	55	433/2	433/2	1.0	1/8	1/8	Chord	2/2	4	1	1/4		1/4	1	975															
55	55	435/2	435/2	1.0	3/8	3/8	Chord	2/2	4	1	1/4		1/4	1	976															
55	55	437/2	437/2	1.0	5/8	5/8	Chord	2/2	4	1	1/4		1/4	1	977															
55	55	439/2	439/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8		1/8	1	978															
56	56	220	220	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	979									102						
56	56	221	221	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	980															
56	56	443/2	443/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	981															
56	56	222	222	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	982									103						
56	56	223	223	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	983															
56	56	447/2	447/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	984															
56	56	220	220	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	985															
56	56	222	222	2.0	1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	986															
56	56	220	220	2.0	0	0	Chord	2/2	3	1	1/2		1/2	1	987															
56	56	222	222	2.0	1/2	1/2	Chord	2/2	3	1	1/2		1/2	1	988															
56	56	220	220	2.0	0	0	Chord	2/2	4	1	1/2		1/2	1	989															
56	56	222	222	2.0	1/2	1/2	Chord	2/2	4	1	1/2		1/2	1	990															
57	57	224	224	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	991															
57	57	225	225	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	992									104						
57	57	226	226	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	993									104						
57	57	227	227	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	994									104						
57	57	224	224	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	995															
57	57	225	225	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	996									105						
57	57	226	226	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	997									105						
57	57	227	227	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	998									105						
57	57	224	224	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	999															
57	57	225	225	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	1000									106						
57	57	226	226	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	1001									106						
57	57	227	227	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	1002									106						
57	57	224	224	0.5	0	0	Chord	2/2	4	1	1/8		1/8	1	1003															
57	57	449/2	449/2	1.0	1/8	1/8	Chord	2/2	4	1	1/4		1/4	1	1004															
57	57	451/2	451/2	1.0	3/8	3/8	Chord	2/2	4	1	1/4		1/4	1	1005															
57	57	453/2	453/2	1.0	5/8	5/8	Chord	2/2	4	1	1/4		1/4	1	1006															
57	57	455/2	455/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8		1/8	1	1007															
58	58	228	228	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	1008															
58	58	229	229	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	1009									107						
58	58	230	230	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	1010									107						
58	58	231	231	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	1011									107						
58	58	228	228	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	1012															
58	58	229	229	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	1013									108						
58	58	230	230	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	1014									108						
58	58	231	231	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	1015									108						
58	58	228	228	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	1016															
58	58	229	229	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	1017									109						
58	58	230	230	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	1018									109						
58	58	231	231	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	1019									109						
58	58	228	228	0.5	0	0	Chord	2/2	4	1	1/8		1/8	1	1020															
58	58	457/2	457/2	1.0	1/8	1/8	Chord	2/2	4	1	1/4		1/4	1	1021															
58	58	459/2	459/2	1.0	3/8	3/8	Chord	2/2	4	1	1/4		1/4	1	1022															
58	58	461/2	461/2	1.0	5/8	5/8	Chord	2/2	4	1	1/4		1/4	1	1023															
58	58	463/2	463/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8		1/8	1	1024															
59	59	232	232	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	1025															
59	59	233	233	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	1026															
59	59	234	234	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	1027															
59	59	235	235	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	1028															
59	59	232	232	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	1029															
59	59	233	233	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	1030									110						
59	59	234	234	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	1031									110						
59	59	235	235	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	1032															
59	59	232	232	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	1033															
59	59	233	233	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	1034															
59	59	234	234	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	1035															
59	59	235	235	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	1036															
59	59	232	232	0.5	0	0	Chord	2/2	4	1	1/8		1/8	1	1037															
59	59	465/2	465/2	1.0	1/8	1/8	Chord	2/2	4	1	1/4		1/4	1	1038															
59	59	467/2	467/2	1.0	3/8	3/8	Chord	2/2	4	1	1/4		1/4	1	1039															
59	59	469/2	469/2	1.0	5/8	5/8	Chord	2/2	4	1	1/4		1/4	1	1040															
59	59	471/2	471/2	0.5	7/8	7/8	Chord	2/2	4	1	1/8		1/8	1	1041															
60	60	236	236	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	1042									111						
60	60	237	237	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	1043															
60	60	475/2	475/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	1044															
60	60	238	238	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	1045									112						
60	60	239	239	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	1046															
60	60	479/2	479/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	1047															
60	60	236	236	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	1048															
60	60	238	238	2.0	1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	1049															
60	60	236	236	2.0	0	0	Chord	2/2	3	1	1/2		1/2	1	1050															
60	60	238	238	2.0	1/2	1/2	Chord	2/2	3	1	1/2		1/2	1	1051															
60	60	236	236	2.0	0	0	Chord	2/2	4	1	1/2		1/2	1	1052															
60	60	238	238	2.0	1/2	1/2	Chord	2/2	4	1	1/2		1/2	1	1053															
61	61	240	240	3.0	0	0	Chord	2/2	1	1	3/4		1/2	3/2	1054															
61	61	243	243	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	1055									113						
61	61	240	240	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	1056															
61	61	481/2	481/2	1.0	1/8	1/8	Chord	2/2	2	1	1/4		1/4	1	1057															
61	61	483/2	483/2	1.0	3/8	3/8	Chord	2/2	2	1	1/4		1/4	1	1058															
61	61	485/2	485/2	1.0	5/8	5/8	Chord	2/2	2	1	1/4		1/4	1	1059															
61	61	487/2	487/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	1060															
61	61	240	240	2.0	0	0	Chord	2/2	3	1	1/2		1/2	1	1061															
61	61	243	243	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	1062									114						
61	61	241	241	1.0	1/4	1/4	Chord	2/2	4	1	1/4		1/4	1	1063									115						
61	61	242	242	1.0	1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	1064									115						
61	61	243	243	1.0	3/4	3/4	Chord	2/2	4	1	1/4		1/4	1	1065									115						
62	62	244	244	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	1066									113						
62	62	245	245	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	1067									113						
62	62	246	246	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	1068									113						
62	62	247	247	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	1069															
62	62	244	244	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	1070															
62	62	489/2	489/2	1.0	1/8	1/8	Chord	2/2	2	1	1/4		1/4	1	1071															
62	62	491/2	491/2	1.0	3/8	3/8	Chord	2/2	2	1	1/4		1/4	1	1072															
62	62	493/2	493/2	1.0	5/8	5/8	Chord	2/2	2	1	1/4		1/4	1	1073															
62	62	495/2	495/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	1074									116						
62	62	244	244	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	1075									114						
62	62	245	245	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	1076									114						
62	62	246	246	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	1077									114						
62	62	247	247	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	1078															
62	62	244	244	1.0	0	0	Chord	2/2	4	1	1/4		1/4	1	1079															
62	62	245	245	1.0	1/4	1/4	Chord	2/2	4	1	1/4		1/4	1	1080									117						
62	62	246	246	1.0	1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	1081									117						
62	62	247	247	1.0	3/4	3/4	Chord	2/2	4	1	1/4		1/4	1	1082															
63	63	248	248	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	1083									118						
63	63	249	249	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	1084									118						
63	63	250	250	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	1085									118						
63	63	251	251	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	1086															
63	63	248	248	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	1087															
63	63	497/2	497/2	1.0	1/8	1/8	Chord	2/2	2	1	1/4		1/4	1	1088															
63	63	499/2	499/2	1.0	3/8	3/8	Chord	2/2	2	1	1/4		1/4	1	1089															
63	63	501/2	501/2	1.0	5/8	5/8	Chord	2/2	2	1	1/4		1/4	1	1090															
63	63	503/2	503/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	1091															
63	63	248	248	2.0	0	0	Chord	2/2	3	1	1/2		1/2	1	1092									119						
63	63	250	250	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	1093									119						
63	63	251	251	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	1094															
63	63	248	248	2.0	0	0	Chord	2/2	4	1	1/2		1/2	1	1095									120						
63	63	250	250	1.0	1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	1096									120						
63	63	251	251	1.0	3/4	3/4	Chord	2/2	4	1	1/4		1/4	1	1097															
64	64	252	252	3.0	0	0	Chord	2/2	1	1	3/4		1/2	3/2	1098									121						
64	64	255	255	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	1099									121						
64	64	511/2	511/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	1100									121						
64	64	252	252	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	1101									122						
64	64	254	254	2.0	1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	1102															
64	64	252	252	3.0	0	0	Chord	2/2	3	1	3/4		1/2	3/2	1103									123						
64	64	255	255	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	1104									123						
64	64	511/2	511/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	1105															
64	64	252	252	2.0	0	0	Chord	2/2	4	1	1/2		1/2	1	1106									124						
64	64	254	254	2.0	1/2	1/2	Chord	2/2	4	1	1/2		1/2	1	1107															
65	65	256	256	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	1108															
65	65	257	257	0.0	1/4	1/4	Spanner	2/2	1	1	0																24			
65	65	257	257	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	1109									125			24			
65	65	258	258	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	1110									125			24			
65	65	259	259	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	1111									125			24			
65	65	256	256	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	1112															
65	65	513/2	513/2	0.0	1/8	1/8	StaffText	2/2	2	1	0							cresc.												
65	65	513/2	513/2	1.0	1/8	1/8	Chord	2/2	2	1	1/4		1/4	1	1113															
65	65	515/2	515/2	1.0	3/8	3/8	Chord	2/2	2	1	1/4		1/4	1	1114															
65	65	517/2	517/2	1.0	5/8	5/8	Chord	2/2	2	1	1/4		1/4	1	1115															
65	65	519/2	519/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	1116															
65	65	256	256	2.0	0	0	Chord	2/2	3	1	1/2		1/2	1	1117															
65	65	259	259	0.0	3/4	3/4	Spanner	2/2	3	1	0																25			
65	65	259	259	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	1118									126			25			
65	65	257	257	0.0	1/4	1/4	Spanner	2/2	4	1	0																26			
65	65	257	257	1.0	1/4	1/4	Chord	2/2	4	1	1/4		1/4	1	1119									127			26			
65	65	258	258	1.0	1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	1120									127			26			
65	65	259	259	1.0	3/4	3/4	Chord	2/2	4	1	1/4		1/4	1	1121									127			26			
66	66	260	260	0.0	0	0	Spanner	2/2	1	1	0																			
66	66	260	260	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	1122															
66	66	261	261	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	1123									128						
66	66	262	262	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	1124									128						
66	66	263	263	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	1125															
66	66	260	260	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	1126															
66	66	521/2	521/2	1.0	1/8	1/8	Chord	2/2	2	1	1/4		1/4	1	1127															
66	66	523/2	523/2	1.0	3/8	3/8	Chord	2/2	2	1	1/4		1/4	1	1128															
66	66	525/2	525/2	1.0	5/8	5/8	Chord	2/2	2	1	1/4		1/4	1	1129															
66	66	527/2	527/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	1130															
66	66	260	260	0.0	0	0	Spanner	2/2	3	1	0													126						
66	66	260	260	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	1131									126						
66	66	261	261	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	1132									126						
66	66	262	262	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	1133									126						
66	66	263	263	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	1134															
66	66	260	260	0.0	0	0	Spanner	2/2	4	1	0																			
66	66	260	260	1.0	0	0	Chord	2/2	4	1	1/4		1/4	1	1135															
66	66	261	261	1.0	1/4	1/4	Chord	2/2	4	1	1/4		1/4	1	1136									129						
66	66	262	262	1.0	1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	1137									129						
66	66	263	263	1.0	3/4	3/4	Chord	2/2	4	1	1/4		1/4	1	1138															
67	67	264	264	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	1139									130						
67	67	266	266	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	1140															
67	67	267	267	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	1141															
67	67	264	264	3.0	0	0	Chord	2/2	2	1	3/4		1/2	3/2	1142															
67	67	267	267	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	1143															
67	67	264	264	2.0	0	0	Chord	2/2	3	1	1/2		1/2	1	1144									131						
67	67	266	266	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	1145															
67	67	267	267	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	1146															
67	67	264	264	2.0	0	0	Chord	2/2	4	1	1/2		1/2	1	1147									132						
67	67	266	266	1.0	1/2	1/2	Chord	2/2	4	1	1/4		1/4	1	1148															
67	67	267	267	1.0	3/4	3/4	Chord	2/2	4	1	1/4		1/4	1	1149															
68	68	268	268	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	1150									133						
68	68	270	270	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	1151															
68	68	271	271	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	1152															
68	68	268	268	3.0	0	0	Chord	2/2	2	1	3/4		1/2	3/2	1153															
68	68	271	271	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	1154															
68	68	268	268	2.0	0	0	Chord	2/2	3	1	1/2		1/2	1	1155									134						
68	68	270	270	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	1156															
68	68	271	271	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	1157															
68	68	268	268	3.0	0	0	Chord	2/2	4	1	3/4		1/2	3/2	1158															
68	68	271	271	1.0	3/4	3/4	Chord	2/2	4	1	1/4		1/4	1	1159															
69	69	272	272	0.0	0	0	Dynamic	2/2	1	1	0					p														
69	69	272	272	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	1160									135						
69	69	547/2	547/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	1161															
69	69	274	274	0.0	1/2	1/2	Spanner	2/2	1	1	0																27			
